0.4000,0.9700,0.7745,0.0449
0.4000,1.1205,1.8477,0.8584
0.4000,1.3368,0.6517,0.1068
0.6000,0.7967,1.6725,0.9078
0.0000,0.9802,0.7416,0.2828
0.6000,1.3552,1.8351,0.2950
0.6000,0.7859,0.6054,0.2483
0.4000,1.0122,1.5497,0.8490
0.2000,0.7466,0.5880,0.4004
0.4000,0.8168,1.7769,0.5675
0.2000,0.8342,0.8343,0.8909
0.8000,0.8108,1.8068,0.2376
0.0000,1.2100,0.7861,0.6521
0.2000,1.1672,1.7438,0.1839
0.6000,1.1809,0.7364,0.0744
0.8000,1.2525,1.6445,0.2313
0.4000,0.9982,0.7969,0.0617
0.2000,0.9530,1.8139,0.4122
0.0000,1.1149,0.9378,0.1286
0.8000,1.2152,1.8366,0.7155
0.8000,0.9889,0.7868,0.0631
0.0000,1.2365,1.7840,0.7444
0.2000,1.0798,0.8019,0.4056
0.6000,0.9250,1.7802,0.2820
0.2000,0.8658,0.5973,0.6902
0.6000,1.2190,1.9776,0.0614
0.0000,1.0445,0.7571,0.4258
0.0000,0.7516,1.7428,0.6133
0.2000,0.7475,0.8582,0.1883
0.4000,0.7629,1.8158,0.0323
0.8000,0.9621,0.7920,0.2472
0.0000,0.6965,1.8265,0.5981
0.4000,1.0184,0.8566,0.2522
0.0000,1.1927,1.9636,0.8200
0.6000,0.9398,0.9363,0.2700
0.8000,0.7640,1.7615,0.3658
0.8000,0.6532,0.6118,0.9171
0.6000,1.0429,1.9706,0.6921
0.2000,1.2715,0.6568,0.2488
0.2000,0.9687,1.7789,0.1231
0.4000,1.1145,0.6483,0.8704
0.8000,1.0784,1.8324,0.5742
0.2000,0.6012,0.6413,0.0872
0.0000,1.0257,1.7518,0.5394
0.0000,1.2017,0.5007,0.0241
0.8000,0.6306,1.8380,0.4666
0.4000,1.5318,0.8602,0.0570
0.8000,1.2298,1.5805,0.7846
0.0000,1.0224,0.6262,0.9215
0.8000,0.8007,1.7357,0.8498
